Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
Bryanston Street Marble Arch Westminster Borough London W1H 7EH United Kingdom,908,6/25/17,8.5,Amba Hotel Marble Arch, Kazakhstan , The prices continue to increase with every stay the service is adequate but not enough staff Parking is expensive and typical of London,24,3980, I am a regular in this hotel for business only The location is the only thing to like ,20,8,6.3,"[' Business trip ', ' Group ', ' Standard Double Room ', ' Stayed 1 night ']",39 days,51.5144004,-0.1565506
C rsega 289 Eixample 08008 Barcelona Spain,133,7/14/16,9.1,Ohla Eixample, Kazakhstan , Everything was just good ,6,978, It s a new hotel with amazing modern design that incorporates all the area in nicely arranged way The rooms are comfortable too Most importantly the staff is very helpful Especially those guys at the reception Alba and Federico extremely helpful The breakfast area is super nice and those windows make it a special place to be in Location is excellent it s 100 meters from Rample de Espanyol and 100 meters from diagonal street So you can enjoy the comfort of being close to main cites but also the quietness that other touristy locations can t offer ,100,1,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ']",385 day,41.3944574,2.1564353
Calabria 90 92 Eixample 08015 Barcelona Spain,185,1/6/16,8.8,TWO Hotel Barcelona by Axel 4 Sup Adults Only, Kazakhstan ,No Negative,0,2336, Everything was great nice reception guys Adriano and Daniel ,11,11,9.2,"[' Leisure trip ', ' Solo traveler ', ' Double or Twin Ground Floor ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",575 day,41.37913,2.1561186
Calabria 90 92 Eixample 08015 Barcelona Spain,185,10/20/15,8.8,TWO Hotel Barcelona by Axel 4 Sup Adults Only, Kazakhstan , no vegetables on the breakfast suggested but this is not so important ,14,2336, Very nice European hotel clean and pleasant ,9,1,9.6,"[' Leisure trip ', ' Couple ', ' Double or Twin Ground Floor ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",653 day,41.37913,2.1561186
Calle K s n Entrada principal Mercabarna Sants Montju c 08040 Barcelona Spain,258,9/20/15,7.8,Hotel Best Western PLUS Alfa Aeropuerto, Kazakhstan , 1 Hotel staff said taxi would cost us about 20 EUR But actually taxi driver asked whole 33 EUR it is way too much Since we booked taxi through hotel reception staff we expected that it will be fair and trustworthy taxi company Very disappointed 2 We booked this not cheap hotel nearby the airport hoping to save some money on transfer to the airport with free shuttle service But it turned out that bus shuttle works only during the daytime This was a surprise We had a flight at 06 20 AM Cancel booking was not possible so we were actually locked to stay and we eventually had to order taxi anyway Then happened 1 read above 3 At the lobby bar staff is definitely not customer oriented We waited to place an order then we waited to pay the bill of 17 EUR for the tiniest pizza I ve ever seen in my life and 4 ordinary black teas ,163,2521, Polite staff clean facility ,6,1,5.8,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ']",683 day,41.3283758,2.1129638
Calle K s n Entrada principal Mercabarna Sants Montju c 08040 Barcelona Spain,258,12/12/15,7.8,Hotel Best Western PLUS Alfa Aeropuerto, Kazakhstan ,No Negative,0,2521, Staff was really friendly ,6,4,7.5,"[' Leisure trip ', ' Couple ', ' Special Offer Only For Cruise Passengers ', ' Stayed 1 night ']",600 day,41.3283758,2.1129638
Calle K s n Entrada principal Mercabarna Sants Montju c 08040 Barcelona Spain,258,11/24/15,7.8,Hotel Best Western PLUS Alfa Aeropuerto, Kazakhstan ,No Negative,0,2521, Staff were friendly ans helpful ,7,4,7.5,"[' Leisure trip ', ' Couple ', ' Special Offer Only For Cruise Passengers ', ' Stayed 1 night ', ' Submitted from a mobile device ']",618 day,41.3283758,2.1129638
Carburton Street Westminster Borough London W1W 5EE United Kingdom,542,5/9/17,8.2,Holiday Inn London Regent s Park, Kazakhstan , Smoking rooms,3,2266,No Positive,0,2,4.2,"[' Business trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",86 days,51.5222472,-0.1426128
Cardenal Reig 11 Les Corts 08028 Barcelona Spain,298,11/24/15,7.7,Senator Barcelona Spa Hotel, Kazakhstan , The room was not very clean actually quite dirty at checkin The bath was not cleaned up at all The Wifi is very week Almost impossible to surf the internet Only enough for whatsup msgs ,37,3097,No Positive,0,5,7.1,"[' Business trip ', ' Group ', ' 2 rooms ', ' Stayed 6 nights ']",618 day,41.3777977,2.1135971
Carrer de Arag 271 Eixample 08007 Barcelona Spain,124,11/17/16,9.1,Room Mate Anna, Kazakhstan , Bed is uncomfortable no daylight in the room,9,1286, Friendly staff tasty breakfast central location,7,1,6.7,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",259 day,41.3929366,2.1653954
Caspe 103 Eixample 08013 Barcelona Spain,312,3/24/17,8.5,Ayre Hotel Caspe, Kazakhstan , Nothing,2,3442, Everything was good 10 minutes from the centre of Barcelona by foot breakfast was perfect The price excellent ,20,16,9.6,"[' Leisure trip ', ' Travelers with friends ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",132 day,41.3961021,2.1794688
Caspe 103 Eixample 08013 Barcelona Spain,312,12/3/15,8.5,Ayre Hotel Caspe, Kazakhstan , Internet connection was useless when it was most needed,10,3442, Location,2,4,10.0,"[' Leisure trip ', ' Family with older children ', ' Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",609 day,41.3961021,2.1794688
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,10/30/15,8.6,Worldhotel Cristoforo Colombo, Kazakhstan , Near Trams you listen it that why you wake up in the morning also the building and hotel is not new You feel it by smelling and the toilet ,31,2875, Location,2,3,7.5,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 2 nights ']",643 day,45.4758842,9.205791
Corso Buenos Aires 42 5 Central Station 20124 Milan Italy,84,6/29/17,8.4,Best Western Hotel City, Kazakhstan ,No Negative,0,1193, Friendly staff perfect balcony,5,1,8.3,"[' Leisure trip ', ' Family with young children ', ' Comfort Triple Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",35 days,45.4858877,9.2042827
Corso di Porta Vigentina 46 Milan City Center 20122 Milan Italy,66,5/21/17,8.0,Hotel Crivi s, Kazakhstan , No take away breakfast for those who check out earlier than the breakfast starts even though the breakfast was paid Not possible to iron in the room they take your clothes for ironing and charge for it At the checkout the receptionist wanted to charge me once again despite the room fee was deducted from my card already It took about 10 minutes he realized that I payed for the room this lead to my late arrival to the airport ,82,739, Location is not bad,5,11,2.9,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']",74 days,45.4529643,9.1962217
Corso Europa 9 Milan City Center 20122 Milan Italy,107,4/10/16,7.9,Hotel Galileo, Kazakhstan ,No Negative,0,1503, Stayed in this hotel 4 times during one year the stuff was very freindly and it is one of the reasons that I was returning to this hotel so often I will stay here again on my next trip to Milan ,43,3,9.2,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 3 nights ']",480 day,45.4642651,9.1960569
Dam 9 Amsterdam City Center 1012 JS Amsterdam Netherlands,765,11/11/16,8.4,NH Collection Amsterdam Grand Hotel Krasnapolsky, Kazakhstan , Our room was upgraded to an apartment which was awesome but the elevator was broken So climbing the three floors to our room was rough at times But truly a great location ,34,4686, Love the location of this hotel Everything you come to see in Amsterdam is literally right outside your door Very clean and great restaurants ,26,2,10.0,"[' Leisure trip ', ' Travelers with friends ', ' Family Quadruple Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",265 day,52.3727067,4.8943658
Dam 9 Amsterdam City Center 1012 JS Amsterdam Netherlands,765,7/25/17,8.4,NH Collection Amsterdam Grand Hotel Krasnapolsky, Kazakhstan , Room is small,4,4686, Nice staff great location tasty breakfast,7,4,9.6,"[' Leisure trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",9 days,52.3727067,4.8943658
Dam 9 Amsterdam City Center 1012 JS Amsterdam Netherlands,765,12/7/16,8.4,NH Collection Amsterdam Grand Hotel Krasnapolsky, Kazakhstan , staff is extremelly unprofessional,5,4686, breakfast was good,4,8,5.0,"[' Business trip ', ' Group ', ' Superior Double or Twin Room ', ' Stayed 2 nights ']",239 day,52.3727067,4.8943658
Damrak 1 5 Amsterdam City Center 1012 LG Amsterdam Netherlands,973,11/10/15,8.0,Park Plaza Victoria Amsterdam, Kazakhstan , No smoking,3,4820,No Positive,0,9,9.6,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",632 day,52.377278,4.897818
De Boelelaan 2 Zuideramstel 1083 HJ Amsterdam Netherlands,196,1/25/17,7.7,Holiday Inn Amsterdam, Kazakhstan , I ve left my travel adapter for charging in my room after my check out And after return nobody can find it Nobody has seen it while cleaning That was really unpleasantly,33,1485,No Positive,0,4,4.6,"[' Business trip ', ' Solo traveler ', ' Standard Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",190 day,52.3351951,4.8885354
Delflandlaan 15 Slotervaart 1062 EA Amsterdam Netherlands,947,6/22/17,8.7,Best Western Premier Hotel Couture, Kazakhstan , A bit far from the city centre No direct connection to the airport ,15,8177, Friendly and helpful staff Clean and quiet Bus tram station is very close to the hotel ,18,2,8.3,"[' Leisure trip ', ' Family with young children ', ' Standard Double or Twin Room ', ' Stayed 10 nights ', ' Submitted from a mobile device ']",42 days,52.3511137,4.8411629
Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,6/5/17,8.6,Melia Vienna, Kazakhstan , N A,3,3557, Everything ,3,1,10.0,"[' Business trip ', ' Solo traveler ', ' Level Room with Executive Lounge Access ', ' Stayed 3 nights ']",59 days,48.231911,16.4129493
Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,2/4/16,8.6,Melia Vienna, Kazakhstan , Cleaning stuff,3,3557,No Positive,0,1,7.1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",546 day,48.231911,16.4129493
Ferdinand Bolstraat 333 Oud Zuid 1072 LH Amsterdam Netherlands,383,10/13/16,8.9,Hotel Okura Amsterdam, Kazakhstan , They are closing doors on night time,8,2295, Restaurants,2,3,8.3,"[' Business trip ', ' Solo traveler ', ' Superior Double Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",294 day,52.3487635,4.8938829
Fizeaustraat 2 Oost 1097 SC Amsterdam Netherlands,188,5/8/17,9.1,Hotel V Fizeaustraat, Kazakhstan ,No Negative,0,1708, Excellent and helpful staff at the reception and in the restaurant Good and quite location easy to reach center and airport from the hotel Fabulous design of the 70 s Extraordinary food at the restaurant Nice collection of Taschen books this adds a cozy element in a room Great hotel and good experience Highly recommended ,57,6,10.0,"[' Leisure trip ', ' Group ', ' Deluxe Double Room ', ' Stayed 8 nights ', ' Submitted from a mobile device ']",87 days,52.3451511,4.9252372
Fizeaustraat 2 Oost 1097 SC Amsterdam Netherlands,188,1/17/17,9.1,Hotel V Fizeaustraat, Kazakhstan , Room service could be better at cleaning the room floors obviously were not properly vacuumed ,17,1708, Modern style unconventional a bit outside of the main historical area but it is a minor issue main station is conviniently located nearby Good size room Everything looks new ,31,2,8.3,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 4 nights ']",198 day,52.3451511,4.9252372
Gran V a De Les Corts Catalanes 570 Eixample 08011 Barcelona Spain,325,1/11/16,8.2,Sunotel Central, Kazakhstan , air conditioner didnt work ,6,3870, Location staff roof TOP,5,8,7.5,"[' Leisure trip ', ' Couple ', ' Basic Double Room ', ' Stayed 9 nights ']",570 day,41.3841429,2.1616896
Gran Via de les Corts Catalanes 644 Eixample 08007 Barcelona Spain,257,2/26/17,9.2,Catalonia Passeig de Gr cia 4 Sup, Kazakhstan , Everything,2,2116, Location is very nice,5,1,10.0,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",158 day,41.3901396,2.1696699
Grieshofgasse 11 12 Meidling 1120 Vienna Austria,105,11/4/16,8.1,FourSide Hotel Vienna City Center, Kazakhstan ,No Negative,0,1284, Clean helpful staff 2 metro station is close sparr near by,12,5,7.5,"[' Family with young children ', ' Superior Double Room ', ' Stayed 5 nights ']",272 day,48.1825159,16.3322428
Gro e Stadtgutgasse 31 02 Leopoldstadt 1020 Vienna Austria,79,7/14/17,8.1,Hotel Vienna, Kazakhstan ,No Negative,0,1044, Dear booking team would say about reception manager 50 60 years man in glasses who greeted us in the street and promptly gave us the keys from rooms in 2 minutes after our arrival Then he well served us in the bar we were pleasantly surprised Recommend this hotel to all travelers ,54,4,10.0,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",20 days,48.2196722,16.3863588
Guillem Tell 49 Sarri St Gervasi 08006 Barcelona Spain,190,7/17/16,8.8,Pol Grace Hotel, Kazakhstan , The price is high The service is not enough for this price ,14,2220, The room is clean but not so big Location is far from centr of city No fitness room spa Holl is small,23,12,6.3,"[' Leisure trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",382 day,41.4017465,2.1477365
Guillem Tell 49 Sarri St Gervasi 08006 Barcelona Spain,190,7/12/16,8.8,Pol Grace Hotel, Kazakhstan ,No Negative,0,2220, The staff is very helpful and friendly Special thanks to Cesar ,13,12,10.0,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",387 day,41.4017465,2.1477365
Half Moon Street Westminster Borough London W1J 7BN United Kingdom,254,8/28/16,7.3,Hilton London Green Park, Kazakhstan ,No Negative,0,1139, Location location and location,5,7,8.3,"[' Business trip ', ' Solo traveler ', ' Double Hilton Deluxe Room ', ' Stayed 3 nights ']",340 day,51.5064534,-0.1456146
Half Moon Street Westminster Borough London W1J 7BN United Kingdom,254,2/2/16,7.3,Hilton London Green Park, Kazakhstan , tiniest room I have ever seen dirty walls lighting was not working,13,1139, All of the staff were super friendly and helpful,10,4,5.4,"[' Business trip ', ' Solo traveler ', ' Single Hilton Guestroom ', ' Stayed 1 night ']",548 day,51.5064534,-0.1456146
Herengracht 341 Amsterdam City Center 1016 AZ Amsterdam Netherlands,265,8/25/16,9.3,Ambassade Hotel, Kazakhstan ,No Negative,0,1611, At the beginning there were a problem to check in earlier but its ok we decided to walk around center of Amsterdam And at 13 30 our room were ready Location is very good We always stay at this hotel and we are always happy to stay there Stuff is very good help all the time Tesla taxi for 44 to airport is better than to come from airport ,71,11,10.0,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",343 day,52.369391,4.8871721
Herrengasse 10 01 Innere Stadt 1010 Vienna Austria,342,2/1/17,9.0,Steigenberger Hotel Herrenhof, Kazakhstan , Breakfasts at the hotel are quite expensive since there were 4 of us but there are a lots of places near by where you can find cheaper breakfast options ,31,2873, Everything was great,4,6,10.0,"[' Leisure trip ', ' Family with young children ', ' Superior King or Twin Room ', ' Stayed 3 nights ']",183 day,48.2097958,16.3658705
Hobbemakade 50 Oud Zuid 1071 XL Amsterdam Netherlands,141,9/14/16,8.0,NH Amsterdam Museum Quarter, Kazakhstan , Hall areas is smelly looks like hotel needs a good refurbishment works Beds are old to ,18,854, Location is perfect Pretty clean ,7,6,6.7,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 3 nights ']",323 day,52.3560923,4.8858229
Jan Luykenstraat 58 Oud Zuid 1071 CS Amsterdam Netherlands,170,12/19/16,8.3,Bilderberg Hotel Jan Luyken, Kazakhstan , The radiator under the window was not on and it was very cold the first night However I turned the white knob and the heat came on later The space for shower is a bit small and the room,40,1207, I liked very much the breakfast only the bacon was overcooked and the price is too high and the service Everyone was very helpful and polite I hope they help me now by sending me 1 2 minor things I left behind ,44,5,8.8,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ']",227 day,52.3599196,4.8810128
Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,333,1/12/16,8.3,Fleming s Selection Hotel Wien City, Kazakhstan , cleaning was terrible difficult to say that it is 5 star hotel Max could be 4 star Next time will choose another hotel Reception was not helpful couldnt advise anything ,32,3672, location was good ,5,2,5.4,"[' Leisure trip ', ' Group ', ' Superior Double or Twin Room ', ' Stayed 2 nights ']",569 day,,
K rntner Ring 8 01 Innere Stadt 1010 Vienna Austria,107,3/27/17,9.0,The Ring Vienna s Casual Luxury Hotel, Kazakhstan ,No Negative,0,917, The best stuff I have seen,7,13,8.3,"[' Business trip ', ' Solo traveler ', ' Special Room ', ' Stayed 3 nights ']",129 day,48.2017091,16.3710205
K rntner Stra e 32 34 01 Innere Stadt 1010 Vienna Austria,228,6/30/16,8.5,Austria Trend Hotel Astoria Wien, Kazakhstan , There were no air conditioners in the room and it a huge disadvantage when temperature outside is 30 degrees Celsius,21,2279,No Positive,0,3,5.4,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 4 nights ']",399 day,48.2044655,16.3702399
Koninginneweg 34 36 Oud Zuid 1075 CZ Amsterdam Netherlands,313,9/20/16,7.5,Park Plaza Vondelpark Amsterdam, Kazakhstan , There was a broken door handle couldn t lock door leading to the balcony Reminded hotel twice about this no action Finally caught a maintenance worker in the hallway who fixed it This was a security risk for a single woman who needs locked doors at night Also a moldy smell in the bathroom leaky washbasin ,58,2176, I liked the general hotel cleanliness and orderliness staff attitude location and breakfast buffet Lovely balcony overlooking the park quiet at night ,24,1,9.6,"[' Leisure trip ', ' Solo traveler ', ' Executive King Room ', ' Stayed 2 nights ']",317 day,52.3542655,4.8664365
Lancaster Gate Westminster Borough London W2 3LG United Kingdom,452,7/31/17,7.6,Corus Hotel Hyde Park, Kazakhstan , Food at the restaurant was not as good as I expected,12,2562, Very close to Oxford street and hyde park,9,7,10.0,"[' Business trip ', ' Travelers with friends ', ' Economy Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",3 days,51.5119446,-0.179939
Lancaster Gate Westminster Borough London W2 3LG United Kingdom,452,7/30/17,7.6,Corus Hotel Hyde Park, Kazakhstan ,No Negative,0,2562, Very close to shopping district,6,7,10.0,"[' Business trip ', ' Group ', ' Standard Double ', ' Stayed 2 nights ']",4 days,51.5119446,-0.179939
Lancaster Gate Westminster Borough London W2 3LG United Kingdom,452,7/30/17,7.6,Corus Hotel Hyde Park, Kazakhstan ,No Negative,0,2562, Near Hyde park walking in the morning or in the evening is a nice thing to do Close to oxford street ,23,7,10.0,"[' Business trip ', ' Group ', ' Standard Double ', ' Stayed 1 night ']",4 days,51.5119446,-0.179939
Lichtensteg 3 01 Innere Stadt 1010 Vienna Austria,101,4/16/16,8.7,Hotel Topazz, Kazakhstan , Everything was great except one staff member at the Cafe Bar Bloom where breakfast was served Melanie was behaving rude and unprofessional And the most important thing with European and US guests she was extremely nice and friendly and professional Had to report a racial discrimination to the manager Thanks to other staff members besides this incident everything else was great ,63,809, Location comfort ,4,9,9.2,"[' Business trip ', ' Group ', ' Superior Double Room ', ' Stayed 5 nights ']",474 day,48.210285,16.373579
Lichtensteg 3 01 Innere Stadt 1010 Vienna Austria,101,10/20/15,8.7,Hotel Topazz, Kazakhstan , I didnt like that breakfast area is in another building It was better before when they had it in the same building downstairs The smell of bakery in the morning made the hotel cozier ,36,809,No Positive,0,3,10.0,"[' Leisure trip ', ' Solo traveler ', ' 2 rooms ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",653 day,48.210285,16.373579
Llull 340 Sant Mart 08019 Barcelona Spain,169,8/28/15,8.3,Vincci Maritimo, Kazakhstan ,No Negative,0,2573, Breakfast ,3,1,10.0,"[' Leisure trip ', ' Group ', ' Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",706 day,41.4082054,2.2124626
Lowndes Street Kensington and Chelsea London SW1X 9ES United Kingdom,205,7/7/16,8.6,Jumeirah Lowndes Hotel, Kazakhstan , Nothing really,3,587, Breakfast rooms bed comfort location,6,16,8.3,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",392 day,51.4993652,-0.1576613
Magdalenes 13 15 Ciutat Vella 08002 Barcelona Spain,116,9/9/16,9.4,Catalonia Magdalenes, Kazakhstan , A few times it was not an easy for taxis to find hotel ,15,1108, Dream staff team extremely helpful Nice new hotel stylish inspirational Amazing complimentary refreshment service on roof terrace Kids enjoyed a lot ,23,5,9.2,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 1 night ']",328 day,41.3861283,2.1745291
Mallorca 269 271 Eixample 08008 Barcelona Spain,87,10/24/15,9.2,Alma Barcelona GL, Kazakhstan , No dental kit in suite,6,593, Friendly staff good food in restaurant modern style suite good location,12,4,8.3,"[' Leisure trip ', ' Family with older children ', ' Deluxe Double or Twin Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",649 day,41.3945074,2.1632659
Mandeville Place Westminster Borough London W1U 2BE United Kingdom,495,2/20/17,8.5,The Mandeville Hotel, Kazakhstan , Nothing is worth noting,5,2300, Excellent location Extremely Nice Staff very polite and kind Was quite good for one night stand,17,15,9.2,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 1 night ']",164 day,51.5165165,-0.1509735
Mariahilfer Stra e 32 34 07 Neubau 1070 Vienna Austria,137,12/24/15,8.4,NH Wien City, Kazakhstan ,No Negative,0,1538, Location,2,20,7.5,"[' Leisure trip ', ' Group ', ' Superior Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",588 day,48.2002872,16.3547746
Matrosengasse 6 8 06 Mariahilf 1060 Vienna Austria,387,12/6/15,8.1,Leonardo Hotel Vienna, Kazakhstan , I didn t like how the towels were old and a little dirty ,15,6373, I loved everything and I would suggest this hotel to others ,13,2,10.0,"[' Leisure trip ', ' Solo traveler ', ' Comfort Double or Twin Room ', ' Stayed 4 nights ']",606 day,48.1945297,16.340327
Molenwerf 1 1014 AG Amsterdam Netherlands,914,5/29/16,8.5,Golden Tulip Amsterdam West, Kazakhstan , Service doesn t match the one of a 4 star hotel Bathropes are 25 EUR day which is ridiculous Food delivery wasn t allowed to deliver to the room I had to come downstairs I understand the security reasons but in that case they should have someone following the delivery guy to the room instead of insisting on the guest coming to the reception ,66,7586, Great location nice rooms ,6,5,7.5,"[' Business trip ', ' Solo traveler ', ' Large Comfort Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",431 day,52.385601,4.8470597
Molenwerf 1 1014 AG Amsterdam Netherlands,914,5/25/16,8.5,Golden Tulip Amsterdam West, Kazakhstan , I was dissapointed by missing shower gel and shampoo in the room but this hotel is considered as 4 starts ,22,7586, I like hotel staff food and location 15 minutes from the center of the city by tram In future planning to stay in this hotel every my visit ,30,8,8.8,"[' Leisure trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 6 nights ']",435 day,52.385601,4.8470597
Nieuwezijds Voorburgwal 176 180 Amsterdam City Center 1012 SJ Amsterdam Netherlands,191,10/20/15,8.0,Hotel Die Port van Cleve, Kazakhstan , actually nothing everything s for for me ,9,1189, Loveliest hotel in Amsterdam for me Staying already for 4 years in a row and will stay Staff location everything is perfect ,24,2,10.0,"[' Business trip ', ' Group ', ' Superior Twin Room ', ' Stayed 6 nights ']",653 day,52.3741426,4.8907741
Old Park Lane Westminster Borough London W1K 1LB United Kingdom,122,11/22/16,9.0,COMO Metropolitan London, Kazakhstan , Cosiness of the room Cheap but big ,9,416, Location is Perfect,4,6,8.8,"[' Leisure trip ', ' Solo traveler ', ' Double Deluxe Room ', ' Stayed 1 night ']",254 day,51.5050355,-0.1500864
Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,3/27/17,8.4,DoubleTree by Hilton Amsterdam Centraal Station, Kazakhstan , we were very disappointed because the Hotel is really dirty The Honnor Hilton capet at the Reception is horrible Our room was not clean Please make your staff working ,31,3911, Canal behind the window ,6,7,4.2,"[' Leisure trip ', ' Family with young children ', ' Executive Suite with View ', ' Stayed 3 nights ']",129 day,52.376752,4.904618
Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,10/3/16,8.4,DoubleTree by Hilton Amsterdam Centraal Station, Kazakhstan , The room wasn t so large for a Deluxe King but it served it s purpose ,18,3911, The location is perfect close to central train station and lots of local attractions The Sky Lounge is a great place for snacks and drinks while overlooking the wonderful scenery of Amsterdam Central This is the only place I stay when I go to Amsterdam ,47,1,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 4 nights ']",304 day,52.376752,4.904618
Palaud ries 26 Sants Montju c 08004 Barcelona Spain,156,5/29/17,8.3,Hotel Grums Barcelona, Kazakhstan , sink outside the bath room,6,1494, location is close to Las Rambla,7,11,8.8,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",66 days,41.3727844,2.1721134
Park Lane Westminster Borough London W1K 7TN United Kingdom,184,5/25/17,7.9,Grosvenor House A JW Marriott Hotel, Kazakhstan , Terrible attitude to the guest,6,564,No Positive,0,4,5.8,"[' Business trip ', ' Solo traveler ', ' Superior King or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",70 days,51.5082019,-0.1545589
Paseo Taulat 278 Sant Mart 08019 Barcelona Spain,160,9/7/16,8.1,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel, Kazakhstan , Too small standard room and small double bed Surprised they put small bed in the room to put chairs and table which occupy to much space in this tiny room usually in Marriott hotels they use kingsize bed It wasn t really comfortable to sleep together for single traveller should be good enough Small window doesn t add feeling of comfort Glass door to bathroom doesn t allow to keep sounds inside bathroom so you partner need to be prepared Shower head was broken and was quickly changed by request Cleanliness was not good dust in cabinet hairs in tube and so on Surprised they have only about 8 sunbeds at roof pool Whenever you come there is no available sunbeds There are enough space to put 10 more but for some reason AC Hotel doesn t did that Strange People sitting on chairs and even sofas after pool so sofas getting wet They also failed to do simple thing at check in to block amount on credit card Instead of that they charged deposit on the card and then at check out issued refund Since my card in another currency I ve got currency exchange related costs Sleepers is not included and offered for sale at reception Free water bottles only at arrival day and not renewed daily ,221,1560, Great breakfast as one may expect in Marriot chain hotel Located near llevant beach Metro station is in walking distance Provided free internet access as Marriott elite member ,30,21,5.0,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 6 nights ']",330 day,41.4101306,2.2188047
Passeig de Colom 9 Ciutat Vella 08002 Barcelona Spain,102,5/22/16,9.6,Hotel The Serras, Kazakhstan , Rooms are too small for 5 hotel,8,604,No Positive,0,29,8.8,"[' Leisure trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",438 day,41.3801815,2.180688
Passeig de Gracia 132 Gr cia 08008 Barcelona Spain,101,11/18/15,9.0,Hotel Casa Fuster G L Monumento, Kazakhstan , Very small swimming pool and spa,7,935, luxury hotel and stuff,5,1,9.2,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double or Twin Room 1 2 Adults ', ' Stayed 1 night ']",624 day,41.3980162,2.1581229
Passeig de Gracia 68 Eixample 08007 Barcelona Spain,337,10/30/16,8.9,Majestic Hotel Spa Barcelona GL, Kazakhstan ,No Negative,0,1769, Location service,3,8,10.0,"[' Business trip ', ' Family with young children ', ' Deluxe Double or Twin Room ', ' Stayed 1 night ']",277 day,41.3935179,2.1639813
